block	context	SZ	CSI	ProbeType	Ans	PC	RT
1	0	8	0.3	2	right'	1	3.321486951
1	0	8	0.3	2	left'	0	0.615273876
1	0	6	0.3	0	right'	0	0.920215338
1	0	6	0.3	1	left'	0	1.282408966
1	1	4	0.3	0	left'	1	1.793728701
1	1	4	0.3	0	left'	1	1.232019734
1	0	6	0.3	2	right'	1	1.383525328
1	0	6	0.3	0	left'	1	0.945185348
1	0	4	0.3	0	left'	1	1.786607214
1	0	4	0.3	0	left'	1	0.984709387
1	0	6	0.3	2	right'	1	1.27362839
1	0	6	0.3	0	left'	1	0.635899782
1	1	6	0.3	2	left'	0	1.81175604
1	1	6	0.3	0	left'	1	0.755488353
1	0	8	0.3	0	right'	0	4.985134916
1	0	8	0.3	0	left'	1	0.878988789
1	0	4	0.3	1	left'	0	1.287760049
1	0	4	0.3	1	left'	0	0.459788128
1	0	2	0.3	1	right'	1	0.70377635
1	0	2	0.3	0	left'	1	1.229359982
1	1	8	0.3	1	right'	1	2.29140507
1	1	8	0.3	1	left'	0	0.616854016
1	0	4	0.3	2	right'	1	0.769720671
1	0	4	0.3	0	left'	1	2.500709938
1	1	8	0.3	0	right'	0	2.761127201
1	1	8	0.3	0	right'	0	0.927560248
1	1	6	0.3	1	right'	1	1.16161723
1	1	6	0.3	0	left'	1	1.05789638
1	0	6	0.3	0	left'	1	1.058030197
1	0	6	0.3	2	right'	1	1.124734785
1	0	6	0.3	2	right'	1	1.221499937
1	0	6	0.3	0	left'	1	0.600198791
1	1	8	0.3	0	left'	1	1.068316702
1	1	8	0.3	0	left'	1	1.016783911
1	0	2	0.3	2	right'	1	0.63824848
1	0	2	0.3	1	left'	0	2.174387434
1	0	2	0.3	0	left'	1	1.060169683
1	0	2	0.3	2	right'	1	0.71957894
1	1	8	0.3	1	left'	0	3.390629842
1	1	8	0.3	0	left'	1	2.725479894
1	0	4	0.3	0	left'	1	0.975183149
1	0	4	0.3	0	left'	1	3.530503265
1	1	4	0.3	0	right'	0	0.94449337
1	1	4	0.3	0	left'	1	0.500562306
1	1	2	0.3	1	right'	1	0.73377731
1	1	2	0.3	0	left'	1	0.868945443
1	0	2	0.3	1	right'	1	2.132267985
1	0	2	0.3	1	right'	1	2.015358508
1	0	4	0.3	0	right'	0	2.544107552
1	0	4	0.3	0	left'	1	0.818216735
1	1	6	0.3	2	right'	1	0.807261936
1	1	6	0.3	0	left'	1	2.268673625
1	0	2	0.3	0	left'	1	1.849890598
1	0	2	0.3	0	left'	1	0.761579572
1	1	6	0.3	0	left'	1	2.063552991
1	1	6	0.3	0	left'	1	0.803741653
1	0	4	0.3	1	right'	1	0.626968021
1	0	4	0.3	1	left'	0	0.622788129
1	1	2	0.3	2	right'	1	0.719439597
1	1	2	0.3	0	left'	1	1.020277746
1	1	6	0.3	0	left'	1	1.241542419
1	1	6	0.3	0	left'	1	0.842538188
1	0	4	0.3	0	left'	1	2.919600335
1	0	4	0.3	0	left'	1	1.558766977
1	0	2	0.3	1	right'	1	0.734019285
1	0	2	0.3	0	right'	0	1.584455017
1	1	8	0.3	2	left'	0	0.923357066
1	1	8	0.3	0	left'	1	0.325704343
1	0	8	0.3	2	right'	1	2.396961456
1	0	8	0.3	2	left'	0	0.363864164
1	0	6	0.3	2	left'	0	4.959019373
1	0	6	0.3	1	left'	0	0.617535336
1	0	8	0.3	1	left'	0	1.309992149
1	0	8	0.3	0	left'	1	0.289950456
1	0	6	0.3	0	right'	0	3.621412463
1	0	6	0.3	0	left'	1	0.266740193
1	0	8	0.3	2	right'	1	0.773093716
1	0	8	0.3	0	left'	1	2.870771111
1	1	8	0.3	2	right'	1	2.656696216
1	1	8	0.3	0	left'	1	0.629848037
1	1	2	0.3	2	right'	1	1.341398379
1	1	2	0.3	2	right'	1	0.911956607
1	0	2	0.3	1	right'	1	2.187205796
1	0	2	0.3	0	left'	1	0.732915594
1	1	2	0.3	2	right'	1	0.54151609
1	1	2	0.3	0	left'	1	0.760017984
1	0	8	0.3	2	right'	1	1.15222244
1	0	8	0.3	2	right'	1	0.839242906
1	1	6	0.3	0	left'	1	2.105060594
1	1	6	0.3	0	left'	1	1.18936265
1	0	6	0.3	2	right'	1	3.549971401
1	0	6	0.3	0	left'	1	2.267834015
1	1	8	0.3	0	left'	1	2.001741589
1	1	8	0.3	1	right'	1	1.410255479
1	1	8	0.3	1	right'	1	0.918286643
1	1	8	0.3	2	right'	1	1.293990216
1	0	6	0.3	0	right'	0	3.454697178
1	0	6	0.3	0	left'	1	0.470975823
1	0	6	0.3	0	left'	1	0.731985194
1	0	6	0.3	0	right'	0	2.404063602
1	0	8	0.3	2	right'	1	0.983370827
1	0	8	0.3	0	left'	1	1.203977075
1	0	4	0.3	0	right'	0	0.792746985
1	0	4	0.3	0	left'	1	0.434110351
